"GO.ID","Term","Annotated","Significant","Expected","weight01","Fisher_p","padj","Lineage","Condition","Ontology","N_focal","N_universe"
"GO:0019219","regulation of nucleobase-containing compound metabolic process",8,0,0.04,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0019222","regulation of metabolic process",11,0,0.06,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0019538","protein metabolic process",54,0,0.3,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0019637","organophosphate metabolic process",9,0,0.05,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0019693","ribose phosphate metabolic process",5,0,0.03,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0019752","carboxylic acid metabolic process",13,0,0.07,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0022402","cell cycle process",7,0,0.04,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0022607","cellular component assembly",7,0,0.04,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0032774","RNA biosynthetic process",26,0,0.15,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0033036","macromolecule localization",12,0,0.07,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0034654","nucleobase-containing compound biosynthetic process",33,0,0.19,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0036211","protein modification process",7,0,0.04,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0043412","macromolecule modification",10,0,0.06,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0043436","oxoacid metabolic process",14,0,0.08,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0043933","protein-containing complex organization",6,0,0.03,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0044085","cellular component biogenesis",9,0,0.05,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0044281","small molecule metabolic process",29,0,0.16,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0044283","small molecule biosynthetic process",11,0,0.06,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0045184","establishment of protein localization",10,0,0.06,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0046394","carboxylic acid biosynthetic process",8,0,0.04,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0050789","regulation of biological process",13,0,0.07,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0050794","regulation of cellular process",13,0,0.07,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0051179","localization",19,0,0.11,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0051234","establishment of localization",18,0,0.1,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0051252","regulation of RNA metabolic process",8,0,0.04,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0051604","protein maturation",10,0,0.06,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0051641","cellular localization",13,0,0.07,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0055086","nucleobase-containing small molecule metabolic process",9,0,0.05,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0060255","regulation of macromolecule metabolic process",10,0,0.06,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0065003","protein-containing complex assembly",5,0,0.03,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0065007","biological regulation",15,0,0.08,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0070727","cellular macromolecule localization",11,0,0.06,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0071705","nitrogen compound transport",8,0,0.04,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0072521","purine-containing compound metabolic process",7,0,0.04,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0072522","purine-containing compound biosynthetic process",5,0,0.03,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0080090","regulation of primary metabolic process",9,0,0.05,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0090407","organophosphate biosynthetic process",7,0,0.04,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0141187","nucleic acid biosynthetic process",26,0,0.15,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0170033","L-amino acid metabolic process",8,0,0.04,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0170034","L-amino acid biosynthetic process",6,0,0.03,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0170038","proteinogenic amino acid biosynthetic process",6,0,0.03,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0170039","proteinogenic amino acid metabolic process",8,0,0.04,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:1901135","carbohydrate derivative metabolic process",10,0,0.06,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:1901137","carbohydrate derivative biosynthetic process",7,0,0.04,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:1901293","nucleoside phosphate biosynthetic process",6,0,0.03,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:1901605","alpha-amino acid metabolic process",8,0,0.04,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:1901607","alpha-amino acid biosynthetic process",6,0,0.03,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:2001141","regulation of RNA biosynthetic process",8,0,0.04,"1.000",1,1,"Coccomyxa","Relaxed","BP",14,244
"GO:0019752","carboxylic acid metabolic process",12,2,0.41,"0.088",0.088,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0009059","macromolecule biosynthetic process",70,2,2.39,"0.133",0.133,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006520","amino acid metabolic process",12,2,0.41,"0.141",0.141,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0170034","L-amino acid biosynthetic process",5,1,0.17,"0.161",0.161,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006399","tRNA metabolic process",5,1,0.17,"0.161",0.161,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0170038","proteinogenic amino acid biosynthetic process",5,1,0.17,"0.161",0.161,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0009150","purine ribonucleotide metabolic process",5,1,0.17,"0.161",0.161,1,"Symbiochloris","Relaxed","BP",16,244
"GO:1901137","carbohydrate derivative biosynthetic process",7,1,0.24,"0.219",0.219,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0036211","protein modification process",7,1,0.24,"0.219",0.219,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0009056","catabolic process",7,1,0.24,"0.219",0.219,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0009058","biosynthetic process",94,4,3.2,"0.295",0.295,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0005975","carbohydrate metabolic process",12,1,0.41,"0.350",0.35,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0065007","biological regulation",15,1,0.51,"0.419",0.419,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006412","translation",31,1,1.06,"0.693",0.693,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0016070","RNA metabolic process",34,1,1.16,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:1901605","alpha-amino acid metabolic process",7,1,0.24,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0072521","purine-containing compound metabolic process",7,1,0.24,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:1901607","alpha-amino acid biosynthetic process",5,1,0.17,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006753","nucleoside phosphate metabolic process",8,1,0.27,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0043412","macromolecule modification",10,1,0.34,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0009987","cellular process",168,5,5.73,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0090304","nucleic acid metabolic process",50,1,1.7,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006139","nucleobase-containing compound metabolic process",59,2,2.01,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0170033","L-amino acid metabolic process",7,1,0.24,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0170039","proteinogenic amino acid metabolic process",7,1,0.24,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0008652","amino acid biosynthetic process",5,1,0.17,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0043170","macromolecule metabolic process",101,2,3.44,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0009259","ribonucleotide metabolic process",5,1,0.17,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0016053","organic acid biosynthetic process",7,1,0.24,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0044238","primary metabolic process",128,4,4.36,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:1901135","carbohydrate derivative metabolic process",10,2,0.34,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0019693","ribose phosphate metabolic process",5,1,0.17,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0010467","gene expression",67,1,2.28,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0009117","nucleotide metabolic process",8,1,0.27,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0008150","biological_process",174,6,5.93,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0008152","metabolic process",142,5,4.84,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0055086","nucleobase-containing small molecule metabolic process",9,1,0.31,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0019637","organophosphate metabolic process",9,1,0.31,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0044281","small molecule metabolic process",28,2,0.95,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0043436","oxoacid metabolic process",13,2,0.44,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0044283","small molecule biosynthetic process",10,1,0.34,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006793","phosphorus metabolic process",12,1,0.41,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0019538","protein metabolic process",52,2,1.77,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006796","phosphate-containing compound metabolic process",12,1,0.41,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006082","organic acid metabolic process",13,2,0.44,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006163","purine nucleotide metabolic process",6,1,0.2,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0046394","carboxylic acid biosynthetic process",7,1,0.24,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0000375","RNA splicing, via transesterification reactions",6,0,0.2,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",6,0,0.2,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0000398","mRNA splicing, via spliceosome",6,0,0.2,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0005996","monosaccharide metabolic process",5,0,0.17,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006259","DNA metabolic process",18,0,0.61,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006260","DNA replication",6,0,0.2,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006281","DNA repair",10,0,0.34,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006351","DNA-templated transcription",13,0,0.44,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006355","regulation of DNA-templated transcription",8,0,0.27,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006396","RNA processing",13,0,0.44,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006397","mRNA processing",8,0,0.27,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006457","protein folding",5,0,0.17,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006508","proteolysis",7,0,0.24,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006810","transport",15,0,0.51,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006950","response to stress",13,0,0.44,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006974","DNA damage response",11,0,0.38,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006996","organelle organization",10,0,0.34,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0007049","cell cycle",8,0,0.27,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0008104","protein localization",11,0,0.38,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0008380","RNA splicing",6,0,0.2,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0009165","nucleotide biosynthetic process",6,0,0.2,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0009889","regulation of biosynthetic process",9,0,0.31,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0010468","regulation of gene expression",9,0,0.31,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0010556","regulation of macromolecule biosynthetic process",9,0,0.31,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0015031","protein transport",7,0,0.24,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0016043","cellular component organization",19,0,0.65,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0016071","mRNA metabolic process",9,0,0.31,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0019219","regulation of nucleobase-containing compound metabolic process",8,0,0.27,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0019222","regulation of metabolic process",11,0,0.38,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0022402","cell cycle process",7,0,0.24,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0022607","cellular component assembly",7,0,0.24,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0032774","RNA biosynthetic process",27,0,0.92,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0033036","macromolecule localization",12,0,0.41,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0033554","cellular response to stress",11,0,0.38,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0034654","nucleobase-containing compound biosynthetic process",34,0,1.16,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0043933","protein-containing complex organization",6,0,0.2,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0044085","cellular component biogenesis",9,0,0.31,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0045184","establishment of protein localization",10,0,0.34,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0050789","regulation of biological process",13,0,0.44,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0050794","regulation of cellular process",13,0,0.44,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0050896","response to stimulus",13,0,0.44,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0051179","localization",19,0,0.65,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0051234","establishment of localization",18,0,0.61,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0051252","regulation of RNA metabolic process",8,0,0.27,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0051276","chromosome organization",6,0,0.2,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0051604","protein maturation",8,0,0.27,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0051641","cellular localization",13,0,0.44,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0051716","cellular response to stimulus",11,0,0.38,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0060255","regulation of macromolecule metabolic process",10,0,0.34,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0065003","protein-containing complex assembly",5,0,0.17,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0070727","cellular macromolecule localization",11,0,0.38,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0071705","nitrogen compound transport",8,0,0.27,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0071840","cellular component organization or biogenesis",21,0,0.72,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0072522","purine-containing compound biosynthetic process",5,0,0.17,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0080090","regulation of primary metabolic process",9,0,0.31,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0090407","organophosphate biosynthetic process",7,0,0.24,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0141187","nucleic acid biosynthetic process",27,0,0.92,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:1901293","nucleoside phosphate biosynthetic process",6,0,0.2,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:2001141","regulation of RNA biosynthetic process",8,0,0.27,"1.000",1,1,"Symbiochloris","Relaxed","BP",16,244
"GO:0006412","translation",33,1,0.19,"0.19",0.19,1,"Trebouxia","Relaxed","BP",7,245
"GO:0019538","protein metabolic process",56,1,0.31,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0043170","macromolecule metabolic process",104,1,0.58,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0009058","biosynthetic process",99,1,0.56,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0009059","macromolecule biosynthetic process",74,1,0.42,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0009987","cellular process",170,1,0.96,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0010467","gene expression",71,1,0.4,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0044238","primary metabolic process",132,1,0.74,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0008150","biological_process",176,1,0.99,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0008152","metabolic process",146,1,0.82,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0000375","RNA splicing, via transesterification reactions",6,0,0.03,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",6,0,0.03,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0000398","mRNA splicing, via spliceosome",6,0,0.03,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0005975","carbohydrate metabolic process",12,0,0.07,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0005996","monosaccharide metabolic process",5,0,0.03,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0006082","organic acid metabolic process",14,0,0.08,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0006139","nucleobase-containing compound metabolic process",58,0,0.33,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0006163","purine nucleotide metabolic process",6,0,0.03,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0006259","DNA metabolic process",17,0,0.1,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0006260","DNA replication",6,0,0.03,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0006281","DNA repair",10,0,0.06,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0006351","DNA-templated transcription",13,0,0.07,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0006355","regulation of DNA-templated transcription",8,0,0.04,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0006396","RNA processing",13,0,0.07,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0006397","mRNA processing",8,0,0.04,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0006399","tRNA metabolic process",5,0,0.03,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0006457","protein folding",7,0,0.04,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0006508","proteolysis",7,0,0.04,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0006520","amino acid metabolic process",13,0,0.07,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0006753","nucleoside phosphate metabolic process",8,0,0.04,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0006793","phosphorus metabolic process",12,0,0.07,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0006796","phosphate-containing compound metabolic process",12,0,0.07,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0006810","transport",15,0,0.08,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0006950","response to stress",12,0,0.07,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0006974","DNA damage response",10,0,0.06,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0006996","organelle organization",10,0,0.06,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0007049","cell cycle",7,0,0.04,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0008104","protein localization",11,0,0.06,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0008380","RNA splicing",6,0,0.03,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0008652","amino acid biosynthetic process",6,0,0.03,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0009056","catabolic process",7,0,0.04,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0009117","nucleotide metabolic process",8,0,0.04,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0009150","purine ribonucleotide metabolic process",5,0,0.03,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0009165","nucleotide biosynthetic process",6,0,0.03,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0009259","ribonucleotide metabolic process",5,0,0.03,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0009889","regulation of biosynthetic process",9,0,0.05,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0010468","regulation of gene expression",9,0,0.05,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0010556","regulation of macromolecule biosynthetic process",9,0,0.05,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0015031","protein transport",7,0,0.04,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0016043","cellular component organization",18,0,0.1,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0016053","organic acid biosynthetic process",8,0,0.04,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0016070","RNA metabolic process",34,0,0.19,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0016071","mRNA metabolic process",9,0,0.05,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0019219","regulation of nucleobase-containing compound metabolic process",8,0,0.04,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0019222","regulation of metabolic process",11,0,0.06,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0019637","organophosphate metabolic process",9,0,0.05,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0019693","ribose phosphate metabolic process",5,0,0.03,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0019752","carboxylic acid metabolic process",13,0,0.07,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0022402","cell cycle process",6,0,0.03,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0022607","cellular component assembly",6,0,0.03,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0032774","RNA biosynthetic process",27,0,0.15,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0033036","macromolecule localization",12,0,0.07,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0033554","cellular response to stress",10,0,0.06,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0034654","nucleobase-containing compound biosynthetic process",34,0,0.19,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0036211","protein modification process",7,0,0.04,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0043412","macromolecule modification",10,0,0.06,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0043436","oxoacid metabolic process",14,0,0.08,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0043933","protein-containing complex organization",5,0,0.03,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0044085","cellular component biogenesis",8,0,0.04,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0044281","small molecule metabolic process",29,0,0.16,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0044283","small molecule biosynthetic process",11,0,0.06,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0045184","establishment of protein localization",10,0,0.06,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0046394","carboxylic acid biosynthetic process",8,0,0.04,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0050789","regulation of biological process",12,0,0.07,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0050794","regulation of cellular process",12,0,0.07,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0050896","response to stimulus",12,0,0.07,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0051179","localization",19,0,0.11,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0051234","establishment of localization",18,0,0.1,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0051252","regulation of RNA metabolic process",8,0,0.04,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0051276","chromosome organization",6,0,0.03,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0051604","protein maturation",10,0,0.06,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0051641","cellular localization",13,0,0.07,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0051716","cellular response to stimulus",10,0,0.06,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0055086","nucleobase-containing small molecule metabolic process",9,0,0.05,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0060255","regulation of macromolecule metabolic process",10,0,0.06,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0065007","biological regulation",14,0,0.08,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0070727","cellular macromolecule localization",11,0,0.06,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0071705","nitrogen compound transport",8,0,0.04,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
"GO:0071840","cellular component organization or biogenesis",20,0,0.11,"1.00",1,1,"Trebouxia","Relaxed","BP",7,245
